Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
26,26-28,Male,60-69,BE civil from msu,ME in IWM from msu,No,2017,0,Unmarried,,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,Technical/programming Skills;Practical Applications,Now im working as a structural department  but i jave completed my master degree in irrigation water managment i totally enjoyed in my work,No,Yes,,Because now i am onwer of my own construction company,Working,Job,Structure engineer,Contruction field,Private,2,Office Work,1,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Yes,,,,,,,,,,80-89,90-100,70-79,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,2,1,1,2,"Constructing, building;Solving problems",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Composing music;Decorating;Playing instruments;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Debating ideas;Competing;Taking risks;Being an entrepreneur;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
27,26-28,Male,70-79,Civil engineering,Irrigation Water Management ,No,2017,more than 3,Married,Teacher ,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,2,Practical Applications,No,,No,Need to experience different challenges in different field,,Working,Job,Site engineer ,Construction ,Private,2,Field Work,1,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,No,,,,,,,,,,90-100,90-100,80-89,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,10,6,10,8,5,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Reading,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Taking risks,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
28,23-25,Male,70-79,MECHANICAL ENGINEERING,Thermal Science (Mechanical),SIEMENS - NX,2018,3,Unmarried,,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,Technical/programming Skills;Practical Applications,No,No,Yes,,To get better opportunity & aquire superior knowledge in one portion of my vast field,Working,Job,Engineer In charge,Production & Maintenance,Private,2,Field Work,0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,No,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,9,8,10,8,7,"Producing tangible results;Fixing things;Making things work;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Learning new facts;Collecting data;Detailed activities;Developing knowledge;Designing systems,Composing music;Decorating;Designing;Reading,"Communication;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Taking risks,Keeping records;Writing reports;Attention to detail;Using computer software;Creating efficiency
29,23-25,Male,40-49,Bachelor In Mathematics ,Master In Financial Mathematics,No,2018,0,Unmarried,,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,3,Practical Applications,No,No,Yes,,I am well set now,Working,self-employed,Seller ,Natural Diamond ,Business,2,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Yes,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,3,10,3,3,Solving problems,Designing systems,"Writing poetry, stories;Reading",Communication;Listening to people,Debating ideas,Keeping records
30,above 28,Male,70-79,Mathematics,Financial Mathematics,CFA and Machine Learning,2015,more than 3,Married,Company Secretary,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3,Technical/programming Skills;Interactive Session,Quantum Computing ,No,Yes,,My present career is my passion and I am very passionate about to build my career in investment and asset management.,Working,Job,Senior Associate - Portfolio Management,Asset management,Business,4,Field Work,2,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,No,,,,,,,,,,80-89,80-89,70-79,Neutral,Disagree,Agree,Neutral,Neutral,5,4,9,10,10,Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Reading;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations"
31,26-28,Female,60-69,Statistics,,No,2014,2,Married,Electrical engineering ,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,more than 3,Soft skills;Interactive Session;Practical Applications,No,No,Yes,,No,Non-Working,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
32,26-28,Male,70-79,Statistics ,,Govt classes,2014,3,Unmarried,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,Soft skills;Practical Applications,Preparing for programming ,,Yes,,Interest,Working,Job,Teacher,Education ,Government,3,Field Work,2,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,No,,,,,,,,,,60-69,60-69,60-69,Agree,Agree,Agree,Agree,Agree,7,7,7,6,8,Making things work;Action-oriented activities;Solving problems,Analyzing information;Exploring theories;Detailed activities,"Writing poetry, stories;Reading","Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public,Keeping records;Writing reports;Following the rules
33,Below 23,Male,50-59,Civil,,Diploma,2018,2,Unmarried,,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,1,Soft skills,No,No,Yes,,Construction is one of the fast growing business and also need.,Working,self-employed,Supervisor,Construction,Private,1,Field Work,1,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,No,,,,,,,,,,60-69,60-69,60-69,Neutral,Disagree,Neutral,Disagree,Neutral,2,2,2,3,3,"Constructing, building;Making things work;Solving problems;Repairing, refinishing",Conducting research;Collecting data;Developing knowledge,"Playing instruments;Writing poetry, stories;Reading","Communication;Encouraging;Teaching, instructing",Speaking in public;Debating ideas;Chairing committees;Asserting ideas;Taking risks;Being an entrepreneur,Attention to detail;Conducting analyses
34,23-25,Male,70-79,Computer Engineering,,No,2018,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,None,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,"Yes, Now i am PHP codeigniter developer. I want learn Android and other programming language for become a full stack developer.",,No,Now i am working on IT company. I want working on civil services. So i will go for that.,,Working,Job,PHP codeigniter Developer,IT,Private,1,Office Work,0,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,10,5,10,10,10,Solving problems,Solving abstract problems;Learning new facts;Developing knowledge,"Writing poetry, stories;Reading","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Taking risks,Keeping records;Using computer software;Following the rules
35,23-25,Female,50-59,Civil-Civil-irrigation water management ,Civil - environmental engineering department,No,2018,1,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,None,Practical Applications,No,No,No,Yes,,Non-Working,,,,,,,,,,,,,,,,,Neutral,Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,
36,Below 23,Male,70-79,Faculty of technology and engineering,,No,2018,0,Unmarried,,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,2,Technical/programming Skills;Practical Applications,Tenchnical skills,No,Yes,,As I love my feild I would love to continue career in it. Yes there is still lot to learn and I suggest if faculty can provide more of practical or technical skills it's good for students.,Working,self-employed,Business,Machine drawing and drawfting,Business,1,Office Work,0,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,No,,,,,,,,,,60-69,60-69,60-69,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,10,8,10,9,8,"Constructing, building;Working with my hands;Solving problems;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Developing knowledge;Designing systems,Playing instruments;Reading;Being Emotional;Being expressive;Being brave and daring,"Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing",Speaking in public;Debating ideas;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Following the rules"
37,26-28,Female,60-69,Statistics,Statistics,No,2016,2,Unmarried,,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,2,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,"Business understanding, Economics",,No,"No, Salary is one factor",,Working,Job,Business Analyst,Market research,Private,2,Office Work,2,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,No,,,,,,,,,,70-79,70-79,70-79,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,5,4,10,7,7,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories,"Writing poetry, stories;Reading","Working in groups;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing","Speaking in public;Debating ideas;Persuading, influential;Competing",Attention to detail;Using computer software;Conducting analyses;Creating efficiency
38,23-25,Female,70-79,Metallurgy and materials engineering,Metallurgy and materials engineering - Welding technology,No,2017,2,Unmarried,,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,None,Technical/programming Skills,Welding course,,Yes,,This is satisfactory job for me,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,,,
39,Below 23,Male,70-79,Chemistry,Organic Chemistry,No,2018,2,Unmarried,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,more than 3,Practical Applications,Yes,,Yes,,Because I am satisfied with it.,Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
40,26-28,Male,50-59,Engineering,,No,2018,2,Unmarried,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,3,Practical Applications,No,,Yes,,Good opportunity ,Working,Job,Quality engineer,Laboratory,Private,2,Office Work,1,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,Yes,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,9,10,10,10,Making things work;Action-oriented activities;Working with my hands;Solving problems,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Communication;Listening to people;Collaborating;Teaching, instructing;Coaching, training",Debating ideas;Chairing committees;Asserting ideas,"Making charts, graphs;Attention to detail;Creating efficiency"
41,23-25,Male,70-79,Chemistry ,Chemistry department ,No,2018,more than 3,Unmarried,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Agree,Agree,Strongly Agree,Agree,3,Practical Applications,Practical skills in chemistry ,,Yes,,I love it,Non-Working,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,,,,,,,,
42,above 28,Male,60-69,Civil engineering,Hydraulic structure (Civil),No,2017,2,Married,House wife,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Interactive Session;Practical Applications,No,No,No,I am master student and my job is not suitable me with my study,,Working,Job,Surveyor,Government,Government,2,Field Work,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Yes,,,,,,,,,,70-79,60-69,70-79,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,9,10,7,10,9,"Constructing, building;Making things work;Action-oriented activities;Solving problems",Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge,"Decorating;Writing poetry, stories;Reading;Being Emotional","Working in groups;Supporting others;Building relationships;Communication;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Being an entrepreneur,Keeping records;Attention to detail;Using computer software;Creating efficiency;Performing calculations;Following the rules
43,26-28,Female,70-79,Metallurgical and materials engineering,Industrial metallurgy ( Metallurgical and materials engineering),No,2017,2,Married,Job,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Yes,,Yes,,Satisfied presently,Working,Job,Lecturer,Education,Government,2,Office Work,0,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,No,,,,,,,,,,90-100,80-89,80-89,Agree,Neutral,Neutral,Agree,Strongly Disagree,7,9,7,6,10,Solving problems,Learning new facts;Developing knowledge,Reading;Being brave and daring,Supporting others,Debating ideas,Writing reports
44,26-28,Male,70-79,Civil engineering,,No,2015,3,Married,Teacher,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,"Yes, latest software knowledge and knowledge of other discipline like as mechanical nd electrical engineering knowledge. Civil, Mechanical and electrical engineering are core disciplines so,  their deep knowledge is useful in all jobs.",,Yes,,My job is related to my education.,Working,Job,Assistant engineer,Civil department,Government,3,Office Work,2,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,No,,,,,,,,,,90-100,90-100,80-89,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,10,9,10,10,8,"Constructing, building;Action-oriented activities;Working with my hands;Solving problems",Learning new facts;Exploring theories;Developing knowledge,Playing instruments;Reading;Being Emotional;Being expressive,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Chairing committees;Asserting ideas,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Performing calculations;Following the rules"
